"url","route_exists","locale","http_status","final_url","redirect_hops","indexable","canonical","hreflang_es","hreflang_en","x_default","title","h1","meta_robots","x_robots_tag","robots_txt_allowed","crawl_policy","index_policy","classification","page_type","product","audience","content_language","schema_types","source_route","source_file","sitemap_present","sitemap_absence_classification","internal_inlinks","internal_outlinks","intent_label_provisional","intent_confidence","notes","discovered_via_sitemap","discovered_via_route_tree","discovered_via_i18n","discovered_via_internal_link","discovered_via_redirect_config"
"https://valentinproteccionintegral.com/en/business/health-insurance","yes","en","200","https://valentinproteccionintegral.com/en/business/health-insurance","0","yes","https://valentinproteccionintegral.com/en/business/health-insurance","https://valentinproteccionintegral.com/empresas/salud","https://valentinproteccionintegral.com/en/business/health-insurance","https://valentinproteccionintegral.com/empresas/salud","Business Health Insurance | Valentín Protección Integral","Health insurance for businesses, explained clearly","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","370","80","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/business/cybersecurity","yes","en","200","https://valentinproteccionintegral.com/en/business/cybersecurity","0","yes","https://valentinproteccionintegral.com/en/business/cybersecurity","https://valentinproteccionintegral.com/empresas/ciberseguridad","https://valentinproteccionintegral.com/en/business/cybersecurity","https://valentinproteccionintegral.com/empresas/ciberseguridad","Business Cybersecurity | Valentín Protección Integral","Cybersecurity for businesses that depend on technology","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","370","80","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/for/self-employed","yes","en","200","https://valentinproteccionintegral.com/en/for/self-employed","0","yes","https://valentinproteccionintegral.com/en/for/self-employed","https://valentinproteccionintegral.com/autonomos","https://valentinproteccionintegral.com/en/for/self-employed","https://valentinproteccionintegral.com/autonomos","Insurance for Self-Employed Professionals","Insurance for self-employed professionals","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","88","81","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/for/families","yes","en","200","https://valentinproteccionintegral.com/en/for/families","0","yes","https://valentinproteccionintegral.com/en/for/families","https://valentinproteccionintegral.com/para/familias","https://valentinproteccionintegral.com/en/for/families","https://valentinproteccionintegral.com/para/familias","Insurance for Families","Protection for your family","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","78","82","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/for/young-professionals","yes","en","200","https://valentinproteccionintegral.com/en/for/young-professionals","0","yes","https://valentinproteccionintegral.com/en/for/young-professionals","https://valentinproteccionintegral.com/para/jovenes-profesionales","https://valentinproteccionintegral.com/en/for/young-professionals","https://valentinproteccionintegral.com/para/jovenes-profesionales","Insurance for Young Professionals","Insurance for your next stage","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","78","81","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/for/seniors","yes","en","200","https://valentinproteccionintegral.com/en/for/seniors","0","yes","https://valentinproteccionintegral.com/en/for/seniors","https://valentinproteccionintegral.com/para/seniors","https://valentinproteccionintegral.com/en/for/seniors","https://valentinproteccionintegral.com/para/seniors","Insurance for Seniors","Protection for a stage with different priorities","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","78","80","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/foreigners/rentals","yes","en","200","https://valentinproteccionintegral.com/en/foreigners/rentals","0","yes","https://valentinproteccionintegral.com/en/foreigners/rentals","https://valentinproteccionintegral.com/extranjeros/alquileres","https://valentinproteccionintegral.com/en/foreigners/rentals","https://valentinproteccionintegral.com/extranjeros/alquileres","Rentals in Spain | Valentín Protección Integral","Rentals in Spain for international residents","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","225","80","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/funeral-insurance","yes","en","200","https://valentinproteccionintegral.com/en/insurance/funeral-insurance","0","yes","https://valentinproteccionintegral.com/en/insurance/funeral-insurance","https://valentinproteccionintegral.com/seguros/decesos","https://valentinproteccionintegral.com/en/insurance/funeral-insurance","https://valentinproteccionintegral.com/seguros/decesos","Funeral insurance in Madrid | Valentín Protección Integral","Funeral insurance that leaves the important arrangements in place for your family","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","238","99","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/accident-insurance","yes","en","200","https://valentinproteccionintegral.com/en/insurance/accident-insurance","0","yes","https://valentinproteccionintegral.com/en/insurance/accident-insurance","unknown","https://valentinproteccionintegral.com/en/insurance/accident-insurance","unknown","Accident insurance in Madrid | Valentín Protección Integral","Accident insurance for the moments that can change your financial stability","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","236","97","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/accident-insurance/business-self-employed","yes","en","200","https://valentinproteccionintegral.com/en/insurance/accident-insurance/business-self-employed","0","yes","https://valentinproteccionintegral.com/en/insurance/accident-insurance/business-self-employed","unknown","https://valentinproteccionintegral.com/en/insurance/accident-insurance/business-self-employed","unknown","Business Accident Insurance in Madrid | Self-Employed","Accident Insurance for Businesses and Self-Employed Professionals","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","7","85","unknown","unknown","","yes","no","yes","yes","no"
